Color (10),Medium (20),Photography (5),Lighting (8),Descriptors (15),Film & Games (25)
(3) Grayscale,(1) Art Movements,(1) Small to Large,(1) Styles,(1) Realism,(3)  Game
white,abstract expressionist art style,super-resolution microscopy,ambient lighting,classical realism,Age of Empires
black,art deco style,microscopy,backlighting,contemporary realism,Alan Wake
light gray,art nouveau style,macro lens,black light,fantastic realism,Angry Birds
dark gray,avant-garde art style,pinhole lens,bright lighting,hyper realistic,Animal Crossing
(2) Colors,baroque art style,first person view,bright-dark contrast lighting,magic realism,Among Us
maroon,bauhaus art style,wide angle lens,campfire lighting,photorealistic,Assassin's Creed
red,color field art style,ultra-wide angle lens,candlelight,realistic,Batman: Arkham Knight
orange,conceptual art style,fisheye lens,cinematic lighting,(1) Post-Realism,Battlefield
yellow,constructivism art style,telephoto lens,colorful lighting,abstract,Bayonetta
lime,cubism art style,panorama,contre-jour lighting,acidwave,Beyond Good & Evil
green,dada art style,360 panorama,cross lighting,aura,BioShock
cyan,expressionism art style,tilt-shift lens,dark lighting,brutalism,Borderlands
teal,fauvism art style,telescope view,daylight,chakra,Call of Duty
blue,fresco art style,drone view,diffused lighting,cubism,Castlevania
indigo,futurism art style,aerial,dramatic lighting,cyberpunk,Celeste
purple,harlem renaissance art style,from above,early morning lighting,cyborgism,Chrono Trigger
violet,impressionism art style,satellite imagery,fill lighting,dark fantasy,Clash Of Clans
brown,installation art style,(1) Other Terms,film noir lighting,dreamlike,Contra
(1) Colors (dark),land art style,backlit,fluorescent lighting,forestpunk,Crusader Kings
dark-maroon,minimalism art style,blurry,golden hour sunlight,fractalpunk,Dark Cloud
dark-red,neo-impressionism art style,bokeh,hard lighting,futurism,Dark Souls
dark-orange,op art style,depth of field,hazy lighting,futuristic,Dead Space
dark-yellow,pop art style,grainy,high-key lighting,glo-fi,Deus Ex
dark-lime,post-impressionism art style,hazy,incandescent lighting,nanopunk,Devil May Cry
dark-green,precisionism art style,high contrast,key lighting,psychedelic,Diablo
dark-cyan,psychedelic art style,high-speed photography,low-key lighting,psychedelica,Dishonored
dark-teal,street art style,ICM,mid-day lighting,rainbowcore,Doom Eternal
dark-blue,suprematism art style,long exposure,moody lighting,sci-fi,Dota 2
dark-indigo,surrealism art style,low light,morning light,shpongle,Dragon Quest XI
dark-purple,symbolism art style,motion blur,neon lighting,sparklecore,Dreamcast
dark-violet,(1) Flat Output,night photography,night lighting,steampunk,Duck Hunt
dark-brown,3D rendering,shallow depth of field,overhead lighting,surreal,EarthBound
(1) Colors (light),animation,sharp,party lighting,synthwave,Elden Ring
light-maroon,billboard,silhouette,realistic lighting,vaporwave,Euro Truck Simulator 2
light-red,blueprint,soft focus,rim lighting,"(1) Details: Simple, Basic",Fable
light-orange,brochure,time-lapse,shadow lighting,depth of field,Fallout
light-yellow,calligraphy,vibrant colors,soft lighting,flat,Fallout 76
light-lime,cartoon,,spot lighting,flat shading,Far Cry
light-green,collage,,studio lighting,minimalist,FIFA 18
light-cyan,comic book,,sunset lighting,simple,Final Fantasy
light-teal,digital art,,twilight lighting,(1) Details: Complex,Fire Emblem
light-blue,flyer,,volumetric lighting,asymmetrical,Fortnite
light-indigo,greeting card,,(1) Types,bling,Forza Horizon
light-purple,icon,,ambient light,camouflage,Fruit Ninja
light-violet,IKEA guide,,backlight,chaotic,Gears of War
light-brown,illustration,,bioluminescence,chart,Ghost of Tsushima
(2) Styles,infographic,,black light bulb,complex,God of War
black and white,instruction manual,,candle flame,deep dream,GoldenEye 007
complementary color,lettering,,candle light,detailed,Gran Turismo
cool color,logo,,car headlight,diagram,Grand Theft Auto
dark color,magazine,,christmas lights,dreamcore,Half Life
dichromatism color,map,,crepuscular rays,fractal,Halo
faded color,mosaic,,daylight,glassmorphism,Human Fall Flat
high contrast,movie poster,,edison bulb,gliophorus-psittacinus,Jackbox Games
inverted color,newspaper,,fire light,graph,Kinect Adventures
light color,photograph,,flickering light,grid,Legend of Zelda
low contrast,photorealism,,floodlight,high definition,LittleBigPlanet
monochromatic color,pixel art,,fluorescent bulb,hyper realistic,Mario Kart
muted color,poster,,fluorescent tube,hyperbolic,Mass Effect
neon color,schematic,,glow in the dark light,insanely detailed,Max Payne
pantone color,signage,,glow stick,intricate,Mega Man
